iter	MultiClass
344	0.4870467084
345	0.4870411972
346	0.4870308422
347	0.4870206855
348	0.4870131472
349	0.487000096
350	0.4869942287
351	0.4869762802
352	0.4869635816
353	0.4869535094
354	0.4869436134
355	0.4869336431
356	0.4869277099
357	0.486916326
358	0.4868991693
359	0.4868921094
360	0.4868804606
361	0.4868723946
362	0.4868615617
363	0.4868559097
364	0.4868476246
365	0.4868390461
366	0.4868337914
367	0.4868219848
368	0.4868143989
369	0.4868045738
370	0.4867950638
371	0.4867800956
372	0.4867733446
373	0.4867627528
374	0.4867533886
375	0.4867429566
376	0.4867404342
377	0.4867360765
378	0.4867300553
379	0.4867203762
380	0.4867182577
381	0.4867140987
382	0.4867068481
383	0.4866972782
384	0.4866815258
385	0.4866739078
386	0.486671045
387	0.4866620649
388	0.4866540837
389	0.4866462768
390	0.4866404944
391	0.4866330868
392	0.486621474
393	0.4866111827
394	0.4865944452
395	0.4865858203
396	0.4865778582
397	0.4865697283
398	0.4865654303
399	0.4865567033
400	0.486548427
401	0.4865400068
402	0.4865331242
403	0.4865250985
404	0.4865154809
405	0.4865099238
406	0.4865005816
407	0.4864954588
408	0.4864896965
409	0.4864799403
410	0.4864700109
411	0.4864670068
412	0.4864533339
413	0.4864374036
414	0.4864240724
415	0.4864165217
416	0.4864014602
417	0.4863975872
418	0.4863906933
419	0.4863850008
420	0.4863781901
421	0.4863674536
422	0.4863591444
423	0.4863557453
424	0.486346357
425	0.4863364093
426	0.4863239435
427	0.4863167273
428	0.4863011143
429	0.4862939527
430	0.4862787096
431	0.4862721173
432	0.4862661725
433	0.4862543715
434	0.4862482828
435	0.4862388158
436	0.4862276466
437	0.486212704
438	0.4862060656
439	0.4862003104
440	0.4861886609
441	0.4861860132
442	0.486178506
443	0.4861702583
444	0.4861635956
445	0.4861502374
446	0.4861406924
447	0.4861330184
448	0.4861203951
449	0.48611354
450	0.4861014463
451	0.4860922065
452	0.4860855381
453	0.4860784189
454	0.4860668659
455	0.4860525651
456	0.4860353405
457	0.4860212165
458	0.4860142108
459	0.4860066367
460	0.4859964412
461	0.4859890392
462	0.4859788917
463	0.4859669243
464	0.4859538541
465	0.4859423695
466	0.4859264584
467	0.4859161173
468	0.485909454
469	0.4858927855
470	0.4858897479
471	0.4858815144
472	0.4858755534
473	0.4858668575
474	0.4858620828
475	0.4858572787
476	0.4858448444
477	0.4858324564
478	0.4858285606
479	0.4858196353
480	0.4858079521
481	0.4858002926
482	0.4857935718
483	0.4857855458
484	0.4857739669
485	0.4857648186
486	0.4857526561
487	0.4857417402
488	0.4857314665
489	0.4857274589
490	0.4857148254
491	0.4857088777
492	0.4857016184
493	0.4856949533
494	0.4856839807
495	0.4856780322
496	0.4856742956
497	0.4856668544
498	0.4856620441
499	0.4856522285
